,Letter,Number,dir_name,file_name,root
0,a,0,A,a0.jpg,C:/Riley/DeepLetters/data_heap\A
1,a,1,A,a1.jpg,C:/Riley/DeepLetters/data_heap\A
2,a,10,A,a10.jpg,C:/Riley/DeepLetters/data_heap\A
3,a,100,A,a100.jpg,C:/Riley/DeepLetters/data_heap\A
4,a,101,A,a101.jpg,C:/Riley/DeepLetters/data_heap\A
5,a,102,A,a102.jpg,C:/Riley/DeepLetters/data_heap\A
6,a,103,A,a103.jpg,C:/Riley/DeepLetters/data_heap\A
7,a,104,A,a104.jpg,C:/Riley/DeepLetters/data_heap\A
8,a,105,A,a105.jpg,C:/Riley/DeepLetters/data_heap\A
9,a,106,A,a106.jpg,C:/Riley/DeepLetters/data_heap\A
10,a,107,A,a107.jpg,C:/Riley/DeepLetters/data_heap\A
11,a,108,A,a108.jpg,C:/Riley/DeepLetters/data_heap\A
12,a,109,A,a109.jpg,C:/Riley/DeepLetters/data_heap\A
13,a,11,A,a11.jpg,C:/Riley/DeepLetters/data_heap\A
14,a,110,A,a110.jpg,C:/Riley/DeepLetters/data_heap\A
15,a,111,A,a111.jpg,C:/Riley/DeepLetters/data_heap\A
16,a,112,A,a112.jpg,C:/Riley/DeepLetters/data_heap\A
17,a,113,A,a113.jpg,C:/Riley/DeepLetters/data_heap\A
18,a,114,A,a114.jpg,C:/Riley/DeepLetters/data_heap\A
19,a,115,A,a115.jpg,C:/Riley/DeepLetters/data_heap\A
20,a,116,A,a116.jpg,C:/Riley/DeepLetters/data_heap\A
21,a,117,A,a117.jpg,C:/Riley/DeepLetters/data_heap\A
22,a,118,A,a118.jpg,C:/Riley/DeepLetters/data_heap\A
23,a,119,A,a119.jpg,C:/Riley/DeepLetters/data_heap\A
24,a,12,A,a12.jpg,C:/Riley/DeepLetters/data_heap\A
25,a,120,A,a120.jpg,C:/Riley/DeepLetters/data_heap\A
26,a,121,A,a121.jpg,C:/Riley/DeepLetters/data_heap\A
27,a,122,A,a122.jpg,C:/Riley/DeepLetters/data_heap\A
28,a,123,A,a123.jpg,C:/Riley/DeepLetters/data_heap\A
29,a,124,A,a124.jpg,C:/Riley/DeepLetters/data_heap\A
30,a,125,A,a125.jpg,C:/Riley/DeepLetters/data_heap\A
31,a,126,A,a126.jpg,C:/Riley/DeepLetters/data_heap\A
32,a,127,A,a127.jpg,C:/Riley/DeepLetters/data_heap\A
33,a,128,A,a128.jpg,C:/Riley/DeepLetters/data_heap\A
34,a,129,A,a129.jpg,C:/Riley/DeepLetters/data_heap\A
35,a,13,A,a13.jpg,C:/Riley/DeepLetters/data_heap\A
36,a,130,A,a130.jpg,C:/Riley/DeepLetters/data_heap\A
37,a,131,A,a131.jpg,C:/Riley/DeepLetters/data_heap\A
38,a,132,A,a132.jpg,C:/Riley/DeepLetters/data_heap\A
39,a,133,A,a133.jpg,C:/Riley/DeepLetters/data_heap\A
40,a,134,A,a134.jpg,C:/Riley/DeepLetters/data_heap\A
41,a,135,A,a135.jpg,C:/Riley/DeepLetters/data_heap\A
42,a,136,A,a136.jpg,C:/Riley/DeepLetters/data_heap\A
